# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak0	PDZD8 (+33125), SLC18A2 (+101249)
peak49	XYLT1 (-59310), NPIPA8 (+806545)
peak50	LRRC17 (-77745), FAM185A (+86038)
peak51	EMCN (-377699), PPP3CA (+451688)
peak52	ARFGEF1 (-162487), CPA6 (+240221)
peak53	EPHA4 (+636039)
peak54	CENPC (+385033)
peak55	PHOSPHO2 (-11123), PPIG (+98991)
peak56	C5orf42 (+51550), NIPBL (+321119)
peak57	ANAPC16 (-118014), SPOCK2 (-9213)
peak58	TLR4 (+111102)
peak59	TNFRSF10D (+18219), TNFRSF10C (+43221)
peak60	TFEC (+228367), MDFIC (+880220)
peak61	PRMT8 (-58992), TSPAN9 (+354867)
peak62	ENSG00000283208 (+17201), FBXL3 (+17871)
peak63	GK2 (-242065), ANTXR2 (+422205)
peak64	KCNH8 (-498649), SATB1 (-225232)
peak65	SLC41A2 (-2195)
peak66	SNX6 (-36063), CFL2 (+48444)
peak67	SOX4 (-715172), CDKAL1 (+343139)
peak68	GOLM1 (-7432), ISCA1 (+175539)
peak69	SLC7A14 (+12970), CLDN11 (+154239)
peak70	LNPEP (-15615), ERAP2 (+43910)
peak71	GPR75-ASB3 (-53793), PSME4 (+56887)
peak72	STK17A (+30004), COA1 (+37227)
peak73	OPCML (-325802), SPATA19 (+576028)
peak74	ATF1 (-208696), DIP2B (+50489)
peak75	SLC24A2 (-189561), MLLT3 (+646054)
peak76	ZBTB34 (-59762), ZBTB43 (+14571)
peak77	ZBTB14 (-14241), EPB41L3 (+233961)
peak78	VKORC1L1 (-397358), ZNF92 (+102212)
peak79	MYH15 (-50954), KIAA1524 (+9176)
peak80	IQGAP2 (+70635), F2RL2 (+149550)
peak81	SFI1 (+40668), PISD (+90990)
peak82	SORT1 (-88)
peak83	DNASE2B (-245626), PRKACB (+8635)
peak84	SUSD1 (-36148), PTBP3 (+121611)
peak85	MAMLD1 (-162301), HSFX4 (+271473)
peak86	GPI (-14300), LSM14A (+177874)
peak87	PEX5L (+115285), USP13 (+268890)
peak88	OXER1 (+41552), MTA3 (+153963)
peak89	C2CD2 (-48649), ZBTB21 (+7818)
peak90	SDC3 (-128188), PUM1 (+28746)
peak91	PMFBP1 (-310557), ZFHX3 (+648282)
peak92	HTR4 (-137280), ADRB2 (-33812)
peak93	SYNE1 (+353901), ESR1 (+593002)
peak94	KCNJ1 (+46096), FLI1 (+102668)
peak95	TP63 (-214903), TPRG1 (+244550)
peak96	KCNJ15 (-11716), DSCR8 (+123552)
peak97	CLVS2 (-197400), SMPDL3A (+9401)
peak98	AOAH (+84407), ANLN (+250236)
peak99	CENPO (-271843), NCOA1 (+29370)
peak100	NFIL3 (-76699), ROR2 (+449601)
peak101	CBR4 (+37455), PALLD (+475699)
peak102	CHDH (+66505), CACNA1D (+285186)
peak103	CDK6 (-121413), SAMD9 (+162693)
peak104	SUPT4H1 (-50008), RNF43 (+15323)
peak105	RORB (+59487), TRPM6 (+331242)
peak106	STRADB (+81240), C2CD6 (+86266)
peak107	TFB1M (-26758), NOX3 (+114661)
peak108	MPPED1 (+109682), EFCAB6 (+291399)
peak109	CD44 (+118260), SLC1A2 (+161808)
peak110	FANCC (-177134), PTCH1 (+13825)
peak111	PIK3R4 (+54114), COL6A6 (+132381)
peak112	AGO2 (-203523), PTK2 (+162016)
peak113	ACTBL2 (+99462), GPBP1 (+209399)
peak114	ICA1L (+39720), FAM117B (+196564)
peak115	RGS6 (+117179), DPF3 (+843031)
peak116	MAP3K20 (-322145), RAPGEF4 (+17973)
peak117	GATA3 (+955653)
peak118	MEOX2 (-424093), ISPD (+310417)
peak119	CYP26B1 (-646113), EXOC6B (+31868)
peak120	BBX (+128926), CD47 (+439112)
peak121	CAMK4 (+89476), STARD4 (+198948)
peak122	SLC1A3 (+517)
peak123	NOL11 (-295734), PITPNC1 (+43944)
peak124	HSF2BP (+45560), H2BFS (+48744)
peak125	FGL2 (-66866), GSAP (+149708)
peak126	ST8SIA6 (+10036), VIM (+216035)
peak127	NRIP1 (-349256), USP25 (-315769)
peak128	PLAC8 (-24436), COQ2 (+145763)
peak129	FBXO27 (-41194), ACP7 (-10515)
peak130	ACVR1C (-118879), ACVR1 (+127227)
peak131	SEMA4D (-166777), GADD45G (-19403)
peak132	CDK20 (-395645), SPIN1 (-18022)
peak133	RNASEH2B (-769399), KCNRG (+125025)
peak134	FKTN (-15998), FSD1L (+94030)
peak135	ZC3H12A (-306859), GRIK3 (-133568)
peak136	STX8 (+186923), NTN1 (+367771)
peak137	TMTC1 (-838869), IPO8 (+73307)
peak138	MAB21L2 (-145156), DCLK2 (+357738)
peak139	DDX3Y (-170332), USP9Y (+32545)
peak140	PLXDC2 (-297358), MALRD1 (+470110)
peak141	TIPARP (+85769), CCNL1 (+399599)
peak142	ZC2HC1A (+28981), IL7 (+110495)
peak143	CXCL17 (-44241), CEACAM1 (+41220)
peak144	NONE
peak145	ACTG2 (-33084), STAMBP (+30904)
peak146	ESRRG (-897605), GPATCH2 (+10024)
peak147	AKR1E2 (-766231), KLF6 (-274748)
peak148	BACH1 (+43298), GRIK1 (+596818)
peak149	WNT16 (-50117), CPED1 (+290209)
peak150	PQLC3 (+48341), ROCK2 (+140872)
peak151	SPAAR (+23460), OR2S2 (+25211)
peak152	ALPL (-20495), NBPF3 (+48564)
peak153	MED4 (-91384), ITM2B (-46670)
peak154	ZNF704 (-186689), PAG1 (+50598)
peak155	C14orf166 (-83683), GNG2 (+45378)
peak156	KATNA1 (-38068), LATS1 (+31384)
peak157	ZFHX4 (-226256), HNF4G (+915094)
peak158	CORO6 (-36429), SSH2 (+270765)
peak159	TLK1 (-230269), DCAF17 (-43149)
peak160	TOX (-524686), CA8 (+637518)
peak161	ETNK1 (+33373)
peak162	TBX19 (+67504), XCL2 (+195453)
peak163	TBC1D5 (+120204), PLCL2 (+694857)
peak164	GM2A (+17951), SLC36A3 (+32653)
peak165	RYBP (-310584), SHQ1 (+91275)
peak166	ELOVL5 (-144250), GCLC (+51700)
peak167	AMIGO2 (-197122), RPAP3 (+429074)
peak168	SATB1 (-513237), KCNH8 (-210644)
peak169	LGALSL (-170317), PELI1 (-139321)
peak170	LPGAT1 (-121270), INTS7 (+83500)
peak171	SKP2 (+16856), NADK2 (+72875)
peak172	FMN1 (-142)
peak173	NPFF (-70397), ENSG00000267281 (+47944)
peak174	HMGCLL1 (-289970), BMP5 (+6407)
peak175	FAM9C (-32159), ATXN3L (+243638)
peak176	ARHGAP21 (+101338), KIAA1217 (+413166)
peak177	TLR4 (-207876), ASTN2 (-81426)
peak178	SHC4 (+34405), EID1 (+51153)
peak179	ADGRG1 (-70054), ADGRG5 (+7255)
peak180	RNPC3 (-363146), COL11A1 (-54062)
peak181	CABLES1 (-64252), RBBP8 (+137685)
peak182	ETFA (+25052), TMEM266 (+226580)
peak183	ADA2 (-84458), CECR2 (-55906)
peak184	TLK1 (-158479), DCAF17 (-114939)
peak185	ABLIM1 (-267738), TRUB1 (-12157)
peak186	RTKN2 (+147629), ARID5B (+219778)
peak187	ERBB4 (-192400), IKZF2 (+420362)
peak188	GALNT18 (-100)
peak189	DNAH8 (-1330)
peak190	SIAH1 (+48099), LONP2 (+73506)
peak191	CXorf36 (+132132), KDM6A (+195258)
peak192	PDGFD (-116)
peak193	ATP8B4 (+220455), FGF7 (+475671)
peak194	AFM (+54475), RASSF6 (+84473)
peak195	LCOR (-191484), PIK3AP1 (-69286)
peak196	PCCB (+16268), STAG1 (+485741)
peak197	RASGEF1B (-253359), HNRNPD (+648682)
peak198	GCM1 (-83046), ELOVL5 (+117304)
peak199	ORC2 (+18850), NIF3L1 (+55445)
peak200	AGPAT5 (+9950), XKR5 (+117337)
peak201	ID4 (-32581)
peak202	CC2D2A (+77677), FBXL5 (+107870)
peak203	STK39 (+73157), B3GALT1 (+306036)
peak204	RPS6KA5 (-39703), C14orf159 (-14059)
peak205	JAK2 (-40715), RCL1 (+151661)
peak206	PTGER3 (+152115), CTH (+484401)
peak207	C10orf128 (-147180), DRGX (+59895)
peak208	TRIB1 (+250196), FAM84B (+877876)
peak209	IRS2 (+216083), MYO16 (+941262)
peak210	SLC43A1 (+16101), RTN4RL2 (+39136)
peak211	ITPKB (+48448), STUM (+141927)
peak212	DLG1 (-7496), BDH1 (+249915)
peak213	VGLL4 (-141373), TAMM41 (+61475)
peak214	BEND3 (-275786), PDSS2 (+69345)
peak215	MTHFS (+24272), KIAA1024 (+440261)
peak216	ELL2 (-318221), PCSK1 (+152988)
peak217	TRERF1 (-69049), UBR2 (-42962)
peak218	NPAS3 (+496813), EGLN3 (+514951)
peak219	TOX (-920323), CA8 (+241881)
peak220	LYPLAL1 (-796310), TGFB2 (+31299)
peak221	NPFFR2 (+80870), ADAMTS3 (+456712)
peak222	NSMAF (-109080), TOX (+350594)
peak223	SOX21 (-424844), ABCC4 (+164186)
peak224	ATAD2B (+138917), KLHL29 (+402980)
peak225	ZNF609 (+15275), OAZ2 (+188714)
peak226	ALK (-79)
peak227	LIPN (-5481), LIPK (+31381)
peak228	AEBP2 (-126793), PLEKHA5 (+183113)
peak229	SAMD3 (+174)
peak230	NMUR2 (-947578), GRIA1 (-139315)
peak231	MAP1LC3B2 (-233884), MED13L (-48159)
peak232	MMS22L (-386179)
peak233	CREBL2 (+34154), GPR19 (+38475)
peak234	NRIP1 (-373131), USP25 (-291894)
peak235	EMX2 (+110874), RAB11FIP2 (+393285)
peak236	MSTO1 (+27412), YY1AP1 (+51019)
peak237	FANCL (-17235)
peak238	COL4A3BP (-54746), ANKDD1B (-44575)
peak239	MYRIP (-289819), MOBP (+52106)
peak240	JARID2 (-138989), CD83 (+989666)
peak241	ASAH2 (-12513), SGMS1 (+362860)
peak242	COX15 (+22069), ENTPD7 (+50525)
peak243	TPD52 (-242229), ZBTB10 (-162622)
peak244	TCF4 (-896347), TXNL1 (+106271)
peak245	MEOX2 (-23382), ISPD (+711128)
peak246	ATP6AP2 (-373040), BCOR (-110432)
peak247	OPCML (+201270), NTM (+830939)
peak248	LUZP2 (-272959)
peak249	KIF20B (+525811), HTR7 (+630270)
peak250	FAM71D (-191243), GPHN (+490743)
peak251	DMAC1 (-135864)
peak252	FER (-744481), EFNA5 (-332446)
peak253	CDYL (+62932), RPP40 (+164680)
peak254	C9orf72 (-191724), LINGO2 (+904695)
peak255	FAM174A (+31654), ST8SIA4 (+336307)
peak256	UNC13C (+277114), RSL24D1 (+907049)
peak257	THUMPD2 (-431858), SLC8A1 (+301236)
peak258	SPIN3 (+128712), NBDY (+137835)
peak259	MYF6 (-16719), PTPRQ (+246611)
peak260	ACO1 (-841954)
peak261	FAM151B (+29042), ANKRD34B (+53477)
peak262	TTLL7 (+703310)
peak263	ATF6 (+26708), OLFML2B (+230638)
peak264	IL12A (-77302), SCHIP1 (+71587)
peak265	DIAPH2 (-229489)
peak266	TMEM164 (-228096), ACSL4 (-41607)
peak267	CA10 (+317850), UTP18 (+580349)
peak268	PRR5L (+66013), TRAF6 (+68254)
peak269	ATOX1 (-96109), GLRA1 (+56195)
peak270	MAN1A1 (-113419)
peak271	SIPA1L1 (-587475), PCNX1 (+34445)
peak272	HMGA2 (-167450), MSRB3 (+378367)
peak273	SCG3 (-46483), DMXL2 (-12235)
peak274	RUNX1 (-293243), SETD4 (+717674)
peak275	VRK1 (+15198)
peak276	FGFR2 (-155835), ATE1 (+173825)
peak277	PGAP1 (-61371), ANKRD44 (+322564)
peak278	PDE7B (-344885), AHI1 (-9066)
peak279	XIRP1 (-42316), CX3CR1 (+46825)
peak280	OMA1 (+22106)
peak281	ERAP1 (+36510), CAST (+109353)
peak282	GLS (-36409), NAB1 (+195185)
peak283	LDHAL6B (+61629), MYO1E (+104448)
peak284	IL6ST (-698378), MAP3K1 (-122203)
peak285	CTDSPL2 (-118695), CASC4 (+19808)
peak286	TRIM36 (+111150), KCNN2 (+708064)
peak287	RASGRP3 (-452906), LTBP1 (+76350)
peak288	RBMS3 (-440076), ENSG00000283563 (+492092)
peak289	AKR1E2 (-864975), KLF6 (-176004)
peak290	REEP3 (+186007)
peak291	CYP7B1 (+72845), BHLHE22 (+145549)
peak292	ANTXR1 (+41431), GFPT1 (+332645)
peak293	SERTAD4 (-102876), SYT14 (+191672)
peak294	HUS1B (+39310), IRF4 (+225914)
peak295	TIPARP (+113537), CCNL1 (+371831)
peak296	RAPGEF5 (-45627), STEAP1B (+97957)
peak297	CADM1 (-155275)
peak298	APOA1 (-173411), SIK3 (+87060)
peak299	SORT1 (-7134), PSMA5 (+21266)
peak300	GK5 (-45147), XRN1 (+177308)
peak301	GATA3 (+128655)
peak302	PCSK5 (+128281), RFK (+375580)
peak303	PDCD5 (-82220), DPY19L3 (+92723)
peak304	TOX (-155905)
peak305	HERC3 (+29723), NAP1L5 (+76089)
peak306	PODXL (-904841), PLXNA4 (+115853)
peak307	ST3GAL1 (-327505), ZFAT (+813608)
peak308	DENND1B (+153211), CRB1 (+354004)
peak309	ERVFRD-1 (-87318), NEDD9 (+33632)
peak310	STAG1 (-52010), SLC35G2 (-14641)
peak311	TAF9B (-182335), CYSLTR1 (+5650)
peak312	MMD (-37187), ENSG00000261873 (+52265)
peak313	EDEM3 (-186932), FAM129A (+32705)
peak314	U2AF1L5 (-759565), SMIM11B (-486274)
peak315	BICDL1 (+22396), RAB35 (+104574)
peak316	FAM83A (-66112), TBC1D31 (+40255)
peak317	DYRK2 (-317345), CAND1 (+62095)
peak318	LRCH1 (-257366), LCP1 (-84546)
peak319	LTBP1 (-231275), TTC27 (+87635)
peak320	SPERT (-6951), COG3 (+230435)
peak321	MTAP (-223180), IFNE (-97050)
peak322	ANKRD1 (-270085), PCGF5 (-28790)
peak323	BCL6 (-304382), LPP (-162824)
peak324	CLNK (-298598), HS3ST1 (+446302)
peak325	SKAP1 (+38528), SNX11 (+284104)
peak326	CREBBP (-138761), ADCY9 (+96698)
peak327	USP24 (-43139)
peak328	SMIM8 (-111398), ZNF292 (+55641)
peak329	C1orf105 (-45349), DNM3 (+533839)
peak330	TRIB2 (+211477)
peak331	MMP2 (-41076), IRX6 (+114135)
peak332	DTNBP1 (+41138), JARID2 (+375608)
peak333	COQ2 (-35891), HPSE (+14348)
peak334	PRKCQ (-393789), SFMBT2 (+437396)
peak335	ARHGAP15 (+323927), GTDC1 (+782499)
peak336	ACOT9 (-30499), SAT1 (-9401)
peak337	CTLA4 (-137489), CD28 (+23749)
peak338	ATXN1 (+159246), GMPR (+363630)
peak339	C12orf66 (+35299), SRGAP1 (+342673)
peak340	C14orf159 (+40857), GPR68 (+98698)
peak341	PSMD1 (+6074), HTR2B (+62180)
peak342	SLC4A11 (-146206), C20orf194 (+23253)
peak343	CDH17 (-33602), GEM (+20156)
peak344	PRELID2 (+778311), KCTD16 (+851716)
peak345	STK17A (-268084), HECW1 (+202382)
peak346	GFRA2 (-69780), DOK2 (+55270)
peak347	CDK5R2 (-27)
peak348	RMDN1 (+36133), WWP1 (+129909)
peak349	PHLPP1 (+56220), BCL2 (+548458)
peak350	FBXL14 (+39480), ERC1 (+526938)
peak351	EMCN (-585755), PPP3CA (+243632)
peak352	AHI1 (-241692), PDE7B (-112259)
peak353	MAB21L2 (+59849), LRBA (+373726)
peak354	AP3B2 (-21965), FSD2 (+74325)
peak355	ENSG00000282278 (+54983), LNX1 (+158794)
peak356	ZNF608 (-163740)
peak357	ZBED5 (-158315), CSNK2A3 (+336969)
peak358	MED13L (+216370)
peak359	ENSG00000256206 (-34766), PSMA1 (+88507)
peak360	GATA3 (-164038), TAF3 (+72151)
peak361	EDN2 (-413659), HIVEP3 (+20168)
peak362	ESCO2 (+11575), PBK (+52121)
peak363	RB1 (-16641), ITM2B (+53976)
peak364	CARD16 (-32270), CARD17 (+23846)
peak365	NRP2 (-657201), PARD3B (+479506)
peak366	TOX (-903808), CA8 (+258396)
peak367	ATP1B1 (+33372), NME7 (+228898)
peak368	JARID2 (-539753), CD83 (+588902)
peak369	RHOH (-23182), N4BP2 (+116899)
peak370	RORA (-68471)
peak371	REV1 (-574867), AFF3 (+41226)
peak372	SYT6 (-305520), TRIM33 (+52723)
peak373	RGS6 (-221104), SIPA1L1 (+182010)
peak374	EMCN (-326060), PPP3CA (+503327)
peak375	TMEM163 (+154192), MGAT5 (+444626)
peak376	HAPLN1 (-123144), EDIL3 (+540036)
peak377	TARS (-204939), NPR3 (+524592)
peak378	TFDP2 (+114050), ATP1B3 (+158857)
peak379	VNN1 (-12118), VNN3 (+8598)
peak380	ID2 (-269728)
peak381	ICA1L (+90686), FAM117B (+145598)
peak382	SYNE1 (+327510), ESR1 (+619393)
peak383	SLC30A8 (-153205), AARD (+43924)
peak384	IGFL4 (-74596), IGFL3 (+9062)
peak385	MBD2 (+75592)
peak386	IL5RA (-9178), TRNT1 (-7364)
peak387	GJA10 (+131444), BACH2 (+270829)
peak388	C3orf35 (-78736), GOLGA4 (+77174)
peak389	GBP3 (-18336), GBP1 (+24142)
peak390	KCNJ2 (-32012), KCNJ16 (+32669)
peak391	MAP1LC3B2 (+34986), C12orf49 (+143694)
peak392	GAL (-155567), PPP6R3 (+68138)
peak393	SGK1 (-118280), ALDH8A1 (+513784)
peak394	ADH7 (-72898), TRMT10A (+55636)
peak395	HMGB2 (+82587), GALNT7 (+83785)
peak396	SLF2 (-65255), PAX2 (+102013)
peak397	JUN (-262574), FGGY (-250080)
peak398	IL6ST (-594009), MAP3K1 (-226572)
peak399	TRIM14 (+10560), NANS (+51899)
peak400	OR56B1 (-16562), TRIM22 (+30197)
peak401	SMYD3 (+177199)
peak402	HPF1 (-211235), MFAP3L (+57220)
peak403	HFM1 (+345)
peak404	GPR83 (-72172), ANKRD49 (-20038)
peak405	DOK5 (-253931), PFDN4 (+13819)
peak406	TRAF6 (-48652), RAG1 (-9101)
peak407	NR3C1 (+50832), ARHGAP26 (+582473)
peak408	OC90 (+36752), EFR3A (+118540)
peak409	BMPR1B (+197914), UNC5C (+299613)
peak410	TP53BP1 (+23220), TUBGCP4 (+98850)
peak411	CREB1 (-198769), KLF7 (-165178)
peak412	SGMS2 (+317)
peak413	PSMA6 (+22595), NFKBIA (+89794)
peak414	GBP1 (-32)
peak415	MLF1 (-161646), RSRC1 (+311137)
peak416	TYRP1 (+91291), MPDZ (+494864)
peak417	RUNX2 (-318575), CDC5L (+622269)
peak418	CYP27C1 (-21149), ERCC3 (+67260)
peak419	NIPA2 (+56912), CYFIP1 (+84763)
peak420	GNRH1 (+49364), DOCK5 (+190425)
peak421	PWP2 (-41716), TRAPPC10 (+53255)
peak422	TTC27 (-204186), BIRC6 (+66848)
peak423	ANO10 (+98450), SNRK (+237078)
peak424	GNA14 (-152829), GNAQ (+230322)
peak425	MTIF3 (-13217), LNX2 (+156623)
peak426	C8orf22 (-122511), SNAI2 (-28414)
peak427	SERPINI1 (+14781), GOLIM4 (+345471)
peak428	TMEM241 (+78926), CABLES1 (+223216)
peak429	ERG (-119359), ETS2 (-24254)
peak430	EIF3J (+24062), SPG11 (+102545)
peak431	HTR1F (-500568), POU1F1 (-213624)
peak432	BLOC1S2 (-40389), PKD2L1 (+3385)
peak433	MCMBP (+64660), INPP5F (+81997)
peak434	ADSL (-69765), TNRC6B (+98810)
peak435	ZNF518A (-66655), CCNJ (+19818)
peak436	ENSG00000283321 (+103850), SNX13 (+537349)
peak437	CD226 (-198005), RTTN (+50944)
peak438	GOLGA4 (-52446), LRRFIP2 (-16242)
peak439	UGDH (-96811), SMIM14 (+14661)
peak440	RPL38 (-536327), SDK2 (-23237)
peak441	POP1 (+15245), NIPAL2 (+161779)
peak442	LOXL4 (-93127), PYROXD2 (+53807)
peak443	COPS8 (-128776), ACKR3 (+386895)
peak444	SYNE2 (+139013), ESR2 (+302364)
peak445	MLLT10 (+115350), DNAJC1 (+354032)
peak446	TPD52 (-267285), ZBTB10 (-137566)
peak447	CEP78 (-124055), GNAQ (-80694)
peak448	CCDC17 (-31068), GPBP1L1 (+31505)
peak449	STIM2 (-108772), TBC1D19 (+168153)
peak450	PSMD14 (-107958), TANK (+39783)
peak451	PPP4R3B (+26567), CFAP36 (+71417)
peak452	RICTOR (-135782), FYB1 (+60476)
peak453	LMO7 (+233548)
peak454	SPP2 (+113980), ARL4C (+331921)
peak455	FAM84B (+185462), TRIB1 (+942610)
peak456	GGACT (+214228), PCCA (+280686)
peak457	ENC1 (+358773), ARHGEF28 (+656493)
peak458	DMD (+762970)
peak459	CSRNP3 (-77663), SCN2A (+152550)
peak460	CPNE8 (+133502), ALG10B (+455551)
peak461	FAM9C (-87416), ATXN3L (+188381)
peak462	FGF6 (-45534), C12orf4 (+47323)
peak463	PHYHIPL (-510375), BICC1 (+153075)
peak464	TMEM200A (-207286), SAMD3 (-13944)
peak465	ENOX1 (+121992), DNAJC15 (+641713)
peak466	DERA (+28183), SLC15A5 (+338330)
peak467	ABHD17C (-144555), ARNT2 (+146397)
peak468	LRGUK (-813460), EXOC4 (+60766)
peak469	ATP2B1 (-218513)
peak470	USP32 (+86831), CA4 (+155367)
peak471	CD46 (+16698), CD34 (+142647)
peak472	RASGRP1 (-520571), THBS1 (-495716)
peak473	PLA2G16 (-38494), ATL3 (+18749)
peak474	GDPD2 (-23883), KIF4A (+109058)
peak475	LYSMD4 (+50198), MEF2A (+117136)
peak476	KLHL8 (+28178), AFF1 (+257428)
peak477	RGS6 (+386407), DPF3 (+573803)
peak478	HPS3 (+22984), CP (+69487)
peak479	DOPEY1 (+19302), PGM3 (+106946)
peak480	EPAS1 (-264124), PRKCE (+381504)
peak481	TOX (-144880)
peak482	FAM9B (-251336), TBL1X (-179545)
peak483	ODF1 (+16664), KLF10 (+87666)
peak484	ZBTB8OS (+22927), ZBTB8A (+88230)
peak485	PGD (-38851), KIF1B (+149424)
peak486	PDCD6IP (-93485), CLASP2 (-45645)
peak487	KCNMB2 (-771210), TBL1XR1 (-591012)
peak488	RBMX (-55000), GPR101 (+95949)
peak489	SOX4 (-903867), CDKAL1 (+154444)
peak490	FBLN5 (-32521), TRIP11 (+59715)
peak491	ATP6V1E2 (-15663), RHOQ (-7108)
peak492	STPG4 (+11305), TTC7A (+202696)
peak493	ANO10 (+79249), SNRK (+256279)
peak494	IFNA13 (-12904), IFNA2 (+3522)
peak495	NOSTRIN (-46827), CERS6 (+295075)
peak496	C1orf105 (-39729), DNM3 (+539459)
peak497	SNRPF (-53000), NTN4 (-15170)
peak498	FAM71C (-202623), APAF1 (+799989)
peak499	CCDC89 (-13921), SYTL2 (+110931)
peak500	STXBP5L (+105)
peak501	STT3B (-455531), GADL1 (-182494)
peak502	KRT2 (-10342), KRT1 (+17901)
peak503	ADGRA3 (-79796)
peak504	BCL7A (-27034), WDR66 (+74526)
peak505	NOSTRIN (-105538), CERS6 (+236364)
peak506	LMO4 (-10205), HS2ST1 (+403589)
peak507	NFIA (+250522), TM2D1 (+392757)
peak508	SLC45A1 (-220203), ERRFI1 (-71315)
peak509	GHITM (-535591)
peak510	MLF1 (-139060), RSRC1 (+333723)
peak511	MRPL39 (+105031)
peak512	PLAC1 (-60625), MOSPD1 (+196159)
peak513	ZNF804A (+191)
peak514	NRP1 (-27007)
peak515	SCAF11 (-240605), SLC38A1 (+36531)
peak516	FAM98B (-31589), SPRED1 (+170212)
peak517	PBX1 (+213261), LMX1A (+583819)
peak518	CLVS2 (-197735), SMPDL3A (+9066)
peak519	XCL1 (-3639)
peak520	ASIC2 (+58945), SPACA3 (+242174)
peak521	SELENOP (+62767), GHR (+324860)
peak522	LRGUK (-566146), EXOC4 (+308080)
peak523	BCL2L11 (-28800), ACOXL (+359556)
peak524	DENND4A (+24100), SLC24A1 (+146092)
peak525	MTIF2 (-42436), CCDC88A (+107929)
peak526	ASAP2 (+38439), ITGB1BP1 (+178025)
peak527	EFHB (-3447)
peak528	SNRK (-106282), POMGNT2 (-74182)
peak529	MAGI1 (+73912)
peak530	FST (-347257), MOCS2 (-23393)
peak531	KAT7 (+29629), TAC4 (+29833)
peak532	TMEM17 (+122365), B3GNT2 (+187863)
peak533	FXYD5 (+30297), FAM187B (+43702)
peak534	PMFBP1 (-31338), ZFHX3 (+927501)
peak535	DENND1B (+175407), CRB1 (+331808)
peak536	ARL4A (+225940)
peak537	TBL1XR1 (-805521), KCNMB2 (-556701)
peak538	HBP1 (-42287), PRKAR2B (+82079)
peak539	AGFG2 (-22830), NYAP1 (+32468)
peak540	DMRTA1 (-341682), CDKN2B (-95796)
peak541	MCMBP (+35775), INPP5F (+110882)
peak542	NONE
peak543	NEK6 (-203129), LHX2 (+43224)
peak544	GNRHR (-7943), TMPRSS11D (+121729)
peak545	PTPRD (-579288)
peak546	MAST2 (-731)
peak547	WNK1 (+42644), RAD52 (+154155)
peak548	GMNC (+170229), IL1RAP (+178284)
peak549	SLC24A5 (-159113), SEMA6D (+243370)
peak550	CEP76 (-116768), PTPN2 (+64693)
peak551	TMIGD1 (-29924), CPD (-14934)
peak552	PRR15 (-285735), CPVL (-82800)
peak553	GIMAP7 (-12039), GIMAP8 (+52161)
