# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak0	Hint3 (-37397)
peak98	Pde4d (+585295)
peak99	Chd6 (-175)
peak100	Tnfrsf22 (-55)
peak101	Dis3 (-156)
peak102	Tnfrsf23 (-12)
peak103	Sdccag8 (+31079)
peak104	Asxl2 (+36379)
peak105	Mbd4 (+6221)
peak106	Abcg1 (-17905)
peak107	Slc11a2 (-20676)
peak108	Sik2 (-83)
peak109	Dock4 (-34)
peak110	Tmem19 (-86)
peak111	Rptor (+68099)
peak112	Tspan13 (+22750)
peak113	Gm36864 (+10282)
peak114	Hacd2 (-18)
peak115	Cacfd1 (-6)
peak116	Cnot9 (-234)
peak117	Gtf2e1 (+59)
peak118	Enkur (-294)
peak119	Npat (-148)
peak120	C330018D20Rik (-62)
peak121	Ulbp1 (-79)
peak122	Cd69 (-9150)
peak123	Lsm8 (+7)
peak124	Sh3bp5 (-177)
peak125	Ptrhd1 (-36)
peak126	Mrps33 (+73)
peak127	Desi2 (+55)
peak128	Timm17a (-90)
peak129	2810403A07Rik (-137)
peak130	Cnot2 (+16197)
peak131	Rnf121 (+9)
peak132	Tcf24 (+23727)
peak133	Vezt (-59)
peak134	Hdc (+12274)
peak135	Pdss2 (-85)
peak136	Trpc1 (-44)
peak137	Akap10 (-107)
peak138	Adh5 (+14)
peak139	Ttll5 (+264)
peak140	Sacm1l (-19682)
peak141	Rab8a (+8289)
peak142	Ciao1 (+24)
peak143	Fam49a (+111180)
peak144	Aven (+221857)
peak145	Atp5g1 (-300)
peak146	Hcls1 (-12957)
peak147	Lrwd1 (-32)
peak148	Gm28035 (+11314)
peak149	Sh3bgrl2 (-39)
peak150	Tmem28 (-129919)
peak151	Tab2 (-109687)
peak152	Zzef1 (-159)
peak153	Plcb4 (+149514)
peak154	Urm1 (-25)
peak155	Gatad2b (-231)
peak156	Sass6 (-131)
peak157	Lrriq3 (-7)
peak158	Fitm2 (-78)
peak159	Fam120b (+24)
peak160	Col4a3bp (-120)
peak161	Tmem43 (-37)
peak162	Nupl1 (-66)
peak163	Trmt6 (+53)
peak164	Tnk2 (+6549)
peak165	Mesd (-37)
peak166	Egr3 (-98158)
peak167	Pxylp1 (-10)
peak168	Rnf213 (+35694)
peak169	Canx (-103)
peak170	4933412E24Rik (-125089)
peak171	Tifab (-18890)
peak172	Myc (+471857)
peak173	AI467606 (-27)
peak174	Olfr1032 (+14021)
peak175	Anapc1 (-14)
peak176	Ndufb5 (-72)
peak177	Akap13 (-91)
peak178	2300009A05Rik (-94)
peak179	Igfbp7 (+261)
peak180	Coa5 (+10446)
peak181	Lcmt1 (-17)
peak182	Elac2 (-82)
peak183	Relt (+7025)
peak184	Acyp1 (+57)
peak185	Tram1 (+75947)
peak186	Tbc1d31 (-5402)
peak187	Creb5 (+115533)
peak188	Slfn5 (+624)
peak189	Tap1 (-16221)
peak190	Sel1l (-85)
peak191	Chrna2 (+58986)
peak192	Hltf (+47189)
peak193	Ar (+111065)
peak194	Cyp2d10 (-10502)
peak195	Lmo2 (-24245)
peak196	Paip2b (0)
peak197	Zscan10 (+9820)
peak198	Araf (-53)
peak199	Spry1 (-46187)
peak200	Efr3a (+44)
peak201	Nedd9 (+114318)
peak202	Rrm1 (+1)
peak203	Rbm4 (-108)
peak204	Rab7 (-34)
peak205	Nsfl1c (-12)
peak206	Stard3nl (-58)
peak207	Gm9195 (+695970)
peak208	Mc2r (-36496)
peak209	Zfp395 (-14871)
peak210	Tnip3 (-25441)
peak211	Esm1 (-11573)
peak212	B430305J03Rik (-43882)
peak213	Igfbp7 (+35069)
peak214	Topbp1 (-36)
peak215	Sf3b5 (+3040)
peak216	Ssc4d (+11745)
peak217	Spryd7 (-12)
peak218	Plcl1 (+40440)
peak219	Sqle (-51496)
peak220	Clint1 (-57268)
peak221	Gm4070 (-317139)
peak222	Nlrc5 (-153)
peak223	Ccnt2 (-145)
peak224	Il17rd (+6327)
peak225	Ddx10 (-170)
peak226	Clptm1l (-4)
peak227	4930447C04Rik (+73488)
peak228	Diaph1 (+51655)
peak229	Mad2l1 (-52)
peak230	Ogt (-44)
peak231	Proc (-8120)
peak232	Urb1 (-177)
peak233	Terf1 (-63)
peak234	Mvb12b (-20586)
peak235	Tgfbr2 (-163304)
peak236	Acpp (+36966)
peak237	Pdhx (+74020)
peak238	Tial1 (-67)
peak239	4930427A07Rik (+11983)
peak240	Alox5ap (-18493)
peak241	Lmtk2 (-148)
peak242	Gucy2c (+45804)
peak243	Mmaa (+29)
peak244	Twf1 (-61)
peak245	Sept7 (+49)
peak246	Fam53a (-182)
peak247	Tcerg1 (-242)
peak248	Acap2 (-8856)
peak249	Eno4 (+196)
peak250	Bms1 (-302)
peak251	Sae1 (+23260)
peak252	Asb7 (-117)
peak253	Tmf1 (-103)
peak254	Mis12 (-114)
peak255	Snrnp40 (-35)
peak256	Cnot4 (-157)
peak257	Irf2bpl (+25347)
peak258	Usp36 (-47)
peak259	Cct8l1 (+13752)
peak260	Cd1d1 (+123)
peak261	Pars2 (-104)
peak262	Psma6 (+52)
peak263	St8sia4 (+11815)
peak264	Ccdc150 (+20)
peak265	Fasl (+21649)
peak266	Nat10 (-90)
peak267	Enc1 (+201510)
peak268	Phf1 (-115)
peak269	Rragb (-106)
peak270	Ahnak (+48979)
peak271	Ctnnd2 (+438255)
peak272	Fnbp4 (+40)
peak273	Sec22a (+13)
peak274	Klf12 (-381389)
peak275	Rheb (-66083)
peak276	Ccne1 (+13009)
peak277	2700060E02Rik (-117)
peak278	Ccdc162 (+10764)
peak279	Siah3 (-10177)
peak280	Acvrl1 (+17130)
peak281	Styx (-294)
peak282	Vmn2r95 (+34264)
peak283	Nr4a3 (-245787)
peak284	P4ha2 (+55168)
peak285	Thoc2 (-44)
peak286	Pde7a (+52596)
peak287	Ndnf (-23690)
peak288	Kif18a (-48)
peak289	Mpo (+14874)
peak290	Mrps14 (-123)
peak291	Grpel1 (+124)
peak292	Pyurf (+376)
peak293	Ppfia4 (-11825)
peak294	Pcmtd1 (-63)
peak295	Lss (-147)
peak296	Fbxl21 (-15169)
peak297	Eif3f (-170)
peak298	R3hcc1l (-74)
peak299	Ifne (-102507)
peak300	Fmn1 (-183)
peak301	Usp12 (+2)
peak302	Ppp6r3 (-427)
peak303	Prdm1 (-70867)
peak304	Dnah5 (-44617)
peak305	Zmat4 (-23429)
peak306	Nxt1 (-89)
peak307	Rxfp2 (+99859)
peak308	Caprin2 (-73)
peak309	Supt20 (-376)
peak310	Zfp317 (+55)
peak311	Lars (-132)
peak312	St3gal1 (-431932)
peak313	Akr1c13 (+41)
peak314	Colgalt1 (+66)
peak315	Dopey1 (-2)
peak316	Lef1 (+47247)
peak317	Gsx1 (-29075)
peak318	Maf (+473548)
peak319	Depdc5 (-19)
peak320	Polq (+82806)
peak321	Nucb2 (-80)
peak322	Hinfp (-143)
peak323	Ranbp3 (-39)
peak324	NONE
peak325	Ogfrl1 (-16572)
peak326	Cep55 (-213)
peak327	Trib1 (-28304)
peak328	Pik3c3 (+47)
peak329	Atxn7l2 (+376)
peak330	Tril (+230859)
peak331	Zfp729a (-61)
peak332	Lef1 (-90749)
peak333	Skap1 (-22804)
peak334	Rtn4 (-152)
peak335	Lcn4 (+2343)
peak336	Vta1 (-13)
peak337	Fut8 (-125263)
peak338	Trim24 (-156515)
peak339	Pf4 (+3408)
peak340	Atp8b4 (+31870)
peak341	Pitpnb (-152082)
peak342	Rnft1 (-169)
peak343	Camkmt (-185)
peak344	Dynlt1b (-5)
peak345	Wasl (+7)
peak346	Chd1 (+1244)
peak347	Gbp10 (-186)
peak348	Fbp1 (+7807)
peak349	Bub1b (+22578)
peak350	Strn3 (-65)
peak351	Anxa6 (+10344)
peak352	Aldh4a1 (-90)
peak353	Cdv3 (-106)
peak354	Tspan14 (-13565)
peak355	Pard6g (-41780)
peak356	Pigl (+8369)
peak357	Nphp3 (+55)
peak358	Serf2 (-251)
peak359	Slc25a24 (+42305)
peak360	Hsd17b12 (-106)
peak361	Ybx1 (+44)
peak362	Ube2q1 (-306)
peak363	Hnrnpf (-6527)
peak364	Rab1a (-310)
peak365	Ier2 (+23528)
peak366	Armc2 (+80974)
peak367	Lilrb4a (-213)
peak368	Mitd1 (+5812)
peak369	Ftl1 (-69)
peak370	Myc (-76296)
peak371	Supt20 (-125613)
peak372	Trim30a (-61)
peak373	Tbc1d5 (-229427)
peak374	Lamc2 (-66592)
peak375	Pigu (-31)
peak376	Fam124b (-50)
peak377	Tab3 (-57)
peak378	Timmdc1 (-35)
peak379	Nudt16l1 (-37)
peak380	Dzip1 (-6840)
peak381	Armc7 (+22)
peak382	Nucks1 (-222)
peak383	Trim26 (-105)
peak384	Tbc1d14 (+4204)
peak385	Kif1a (-13413)
peak386	Helb (-65)
peak387	Tax1bp3 (-11)
peak388	Med13 (-763)
peak389	Otogl (-29580)
peak390	Ap5m1 (-109)
peak391	Gata3 (+196798)
peak392	Utp23 (-67)
peak393	Epg5 (-79)
peak394	Tusc3 (+31)
peak395	Ogfod1 (-77)
peak396	Jak1 (-55466)
peak397	Arih1 (-210)
peak398	Pwwp2a (+17)
peak399	Mapk8 (-150)
peak400	Helz (-8753)
peak401	Zmynd11 (-11574)
peak402	Trmt10a (+190)
peak403	Med19 (-123)
peak404	Cdk14 (+94137)
peak405	Tmcc3 (+37440)
peak406	Nsun6 (+5537)
peak407	Stxbp3 (-94)
peak408	Dnmt1 (+56)
peak409	Ube3a (-215)
peak410	Hadh (+63394)
peak411	Cript (+22)
peak412	Gorab (-48)
peak413	Klf13 (-73058)
peak414	Azi2 (-121)
peak415	Zfp622 (+115959)
peak416	Rab28 (-333)
peak417	Pum1 (+21)
peak418	Atp6v1d (-7)
peak419	2810474O19Rik (-33)
peak420	Zcchc2 (+16)
peak421	Stap1 (+15289)
peak422	Tram2 (-15773)
peak423	Asb14 (-68400)
peak424	Ccdc43 (+35)
peak425	Ddb2 (-69)
peak426	Ttc17 (+45883)
peak427	Qdpr (-300)
peak428	Rcl1 (-99)
peak429	Eif4ebp2 (-262)
peak430	Hdac4 (+121425)
peak431	Rps12 (-11)
peak432	Kdm4c (-83)
peak433	Gm21060 (+30451)
peak434	Ing3 (-114)
peak435	Inpp5a (-306)
peak436	Asf1a (-111)
peak437	Mff (+19)
peak438	Arhgap29 (+14529)
peak439	Rab39 (+33)
peak440	Inpp5a (-34)
peak441	Prrc2c (-33265)
peak442	Rad21 (-73)
peak443	Cab39l (+14)
peak444	Cherp (-37)
peak445	Dtx4 (+324)
peak446	Miip (+88)
peak447	Mlf2 (-165)
peak448	Nr2c2 (-203)
peak449	Fam133b (-65739)
peak450	Id2 (-263062)
peak451	Fads6 (+117)
peak452	Ints6l (+1067)
peak453	Msmo1 (+121)
peak454	Mnat1 (+78084)
peak455	Bub3 (+139)
peak456	Irf1 (-5986)
peak457	Tiam1 (-11552)
peak458	Selplg (-11611)
peak459	Sugct (-235)
peak460	Cited2 (-138170)
peak461	Psmd6 (-32)
peak462	Rabepk (+9412)
peak463	Tnks (+1)
peak464	5730480H06Rik (+43)
peak465	Coq7 (+187)
peak466	Cnot10 (-164)
peak467	Mtmr14 (-112)
peak468	Btbd10 (-8683)
peak469	Fryl (-9026)
peak470	Cenpu (-22)
peak471	Klf3 (-315279)
peak472	Pdcl (+7468)
peak473	Zfand2a (+37)
peak474	Slc35e1 (-231)
peak475	Dnajb7 (-8822)
peak476	Usp31 (+65872)
peak477	Trnt1 (0)
peak478	Ly6e (+13344)
peak479	Arpc2 (+12515)
peak480	Parp11 (-19401)
peak481	Slc26a6 (+83)
peak482	Diaph1 (-154)
peak483	Nrd1 (-241)
peak484	Tmem87b (-145)
peak485	Adss (-217)
peak486	5830473C10Rik (+34041)
peak487	Pxylp1 (-27335)
peak488	Mfsd10 (-5950)
peak489	Adgrl2 (+36099)
peak490	Ptpn11 (+84234)
peak491	Dhx38 (+73)
peak492	March5 (+6)
peak493	Tmem160 (+25)
peak494	Gmpr (-51697)
peak495	Rtkn2 (+102373)
peak496	Phf2 (-7670)
peak497	Dcp1a (-229827)
peak498	Scn8a (+34531)
peak499	Csgalnact1 (+13313)
peak500	Wdhd1 (+17675)
peak501	Cpeb4 (-1391)
peak502	Mxd4 (-8865)
peak503	Fam193a (-44)
peak504	Dhx29 (+185)
peak505	Kank1 (+123875)
peak506	Ccdc112 (+27)
peak507	Xaf1 (-48)
peak508	Olfr94 (-5738)
peak509	Tvp23b (+22)
peak510	Aldh18a1 (-71)
peak511	Tdg (-131)
peak512	Mrpl48 (-7849)
peak513	Arf2 (-380)
peak514	Plppr2 (-69)
peak515	Zfp444 (-32)
peak516	Gpr171 (+20748)
peak517	Invs (-109)
peak518	Pitrm1 (-103)
peak519	Kdr (+186555)
peak520	Dnmt3a (-61138)
peak521	Usp38 (-118)
peak522	Nme7 (-63)
peak523	Ccl1 (-34747)
peak524	Tgoln1 (+205)
peak525	Hmg20a (+493)
peak526	Nfe2l2 (+21472)
peak527	Nek1 (-92)
peak528	Tbc1d10a (-29)
peak529	Rac2 (+8611)
peak530	Pld3 (+74)
peak531	Cisd2 (+21427)
peak532	Fbxo11 (+22623)
peak533	Sept9 (+66495)
peak534	Nenf (+58783)
peak535	Nol11 (+16)
peak536	Srp72 (+21)
peak537	Ddx39 (+33581)
peak538	Cobll1 (+49138)
peak539	Ythdc1 (-255)
peak540	Bmp2 (+34423)
peak541	Otud4 (-338)
peak542	AA467197 (-7202)
peak543	Uba6 (-28)
peak544	Arhgap17 (+69414)
peak545	Gm17655 (+14375)
peak546	Psd2 (-54510)
peak547	Baz1b (-112)
peak548	Nid2 (-37953)
peak549	Tle4 (+246222)
peak550	Igbp1 (-19)
peak551	Cox17 (-25)
peak552	Smad3 (-27836)
peak553	Rasgrp4 (-63)
peak554	Rps5 (-145)
peak555	Scnm1 (-19)
peak556	Opn3 (+30)
peak557	Ube2s (-188)
peak558	Exo1 (+174)
peak559	Gramd4 (+37162)
peak560	Fam20b (-27)
peak561	Gm16494 (-122988)
peak562	Eprs (+39)
peak563	Gm10778 (-5214)
peak564	Cdc42se2 (-20164)
peak565	Psma1 (-41482)
peak566	Tgfbr2 (-13837)
peak567	Krt222 (+5402)
peak568	Klf2 (+34)
peak569	Faf1 (+29)
peak570	Rps19 (+70)
peak571	Il9 (-5979)
peak572	Sema4d (+45451)
peak573	Clcn5 (-122)
peak574	Daam1 (+73346)
peak575	Syne2 (+87263)
peak576	Dusp6 (+122851)
peak577	Kbtbd3 (-151)
peak578	Rpl22 (-112)
peak579	Hint3 (-9)
peak580	Cpm (-98577)
peak581	Irf2bpl (+73857)
peak582	Tle4 (-382)
peak583	Rpl14 (+73)
peak584	Tarbp1 (-22640)
peak585	Cox7c (+16)
peak586	Ly6c1 (-3805)
peak587	Afap1 (+91)
peak588	Plb1 (-40412)
peak589	Ssh2 (+38105)
peak590	Ccdc51 (-76)
peak591	Tfap4 (+17671)
peak592	Mnd1 (+37)
peak593	Bcat1 (+244316)
peak594	Coro6 (-15685)
peak595	Timm21 (-67)
peak596	Rrs1 (-103)
peak597	Sp2 (-10247)
peak598	Yif1b (-95)
peak599	Ap1s1 (+12)
peak600	Bicra (+29299)
peak601	4930453N24Rik (-29427)
peak602	Ssbp2 (-36)
peak603	Mettl25 (+43)
peak604	Ptp4a2 (-26202)
peak605	Prkcq (+46113)
peak606	Hnrnpu (+49)
peak607	Rasa2 (+48318)
peak608	Azi2 (-138036)
peak609	Mrpl17 (+43)
peak610	Cenpc1 (-118)
peak611	T (+34518)
peak612	Acat3 (-2582)
peak613	Ercc8 (+11478)
peak614	Akirin1 (+7203)
peak615	Ints4 (-58)
peak616	Lef1 (-52944)
peak617	Sp100 (+2138)
peak618	G430095P16Rik (-40)
peak619	Lclat1 (-92)
peak620	Frmd5 (+72334)
peak621	Zfp330 (-11)
peak622	Gm11084 (-10505)
peak623	Atg16l1 (-201)
peak624	Trim43c (+19855)
peak625	Rasgrp1 (-9933)
peak626	Chst2 (+254773)
peak627	Slf1 (+277227)
peak628	Mocs2 (+27726)
peak629	Sra1 (-76)
peak630	Rgs1 (+94)
peak631	1700017B05Rik (-77367)
peak632	Gm15319 (-61535)
peak633	Aldh3a2 (-49)
peak634	Dnajc13 (+22)
peak635	Tax1bp1 (+112016)
peak636	Tmigd1 (-22180)
peak637	Cpsf6 (-21336)
peak638	Rps3a1 (+32464)
peak639	Tomm7 (-30507)
peak640	Rps6ka3 (-199551)
peak641	2410004P03Rik (-21218)
peak642	Crebrf (-37)
peak643	Zfyve21 (-152)
peak644	Srek1 (+202600)
peak645	Tbce (+27854)
peak646	Mylip (-17913)
peak647	Srrm2 (-141)
peak648	Ptgr2 (-41896)
peak649	G0s2 (+9048)
peak650	Eif3m (-72)
peak651	Chd2 (-65281)
peak652	Wdr25 (+35)
peak653	Cdkn2aip (-198)
peak654	Cdh26 (+75587)
peak655	Cebpzos (+75)
peak656	Rpl30 (+411)
peak657	Gm11992 (-39)
peak658	Eloc (+49)
peak659	Fosb (-10096)
peak660	Azi2 (-147584)
peak661	Rassf7 (+5998)
peak662	Gm10260 (-1683)
peak663	Mchr1 (-44616)
peak664	Sft2d2 (+20)
peak665	Ripk2 (-213)
peak666	Fopnl (-20)
peak667	Trim12c (-72)
peak668	Arap2 (-136)
peak669	Naa30 (-131)
peak670	Vps13a (-147)
peak671	3110018I06Rik (-349525)
peak672	Cox7a2 (+111)
peak673	Prr18 (+31620)
peak674	Adam10 (-35)
peak675	Ap3m2 (-8775)
peak676	Tdp1 (+20)
peak677	Homer1 (-4312)
peak678	Daam1 (-106)
peak679	Camk1d (-77)
peak680	Hk2 (+33936)
peak681	Fam45a (-91)
peak682	Cttn (+53207)
peak683	Capn2 (+27558)
peak684	Amz2 (+167)
peak685	Ankrd44 (+178150)
peak686	Ppp2r1b (+65608)
peak687	Bcl2l11 (+199640)
peak688	Bmt2 (-137)
peak689	Cox10 (-118)
peak690	Med14 (-142611)
peak691	Grk5 (+34952)
peak692	Ppp1r12a (+47208)
peak693	Ube2e2 (+162006)
peak694	Bcas3 (-130)
peak695	Erbb4 (-183427)
peak696	Pank2 (-8463)
peak697	Tnfrsf14 (-16224)
peak698	Frg1 (-165)
peak699	Pde7a (-100045)
peak700	Pde7a (-7968)
peak701	Cd320 (+8447)
peak702	Rph3al (-29460)
peak703	Tmem65 (-194)
peak704	Atp11b (-98)
peak705	Usp32 (+54)
peak706	Cenpo (+8)
peak707	Tasp1 (+14987)
peak708	Pisd (+71607)
peak709	Ces4a (-10613)
peak710	Pdlim5 (+148330)
peak711	Micall2 (-26)
peak712	Fam19a3 (+5828)
peak713	Nr1h2 (-67)
peak714	Cited4 (-63)
peak715	Ngdn (-232)
peak716	Pik3cd (+40508)
peak717	Arl4a (-79)
peak718	Smco4 (+57228)
peak719	Stard13 (-178391)
peak720	Tmem231 (+9)
peak721	Bbs5 (-50)
peak722	1700067K01Rik (+3208)
peak723	Coa7 (-9275)
peak724	Trim33 (+118378)
peak725	Cd83 (+79883)
peak726	Axin2 (-9207)
peak727	Far1 (-153)
peak728	Prmt5 (-1389)
peak729	Arid3b (-216)
peak730	Mef2a (-78701)
peak731	Rbm8a2 (-96550)
peak732	Samd14 (-9229)
peak733	Hdac4 (-60)
peak734	Arpp19 (+51)
peak735	Gm11077 (+87772)
peak736	Apobec3 (-8960)
peak737	Gmpr (+141858)
peak738	Zc3h8 (+71)
peak739	Gpcpd1 (-29645)
peak740	Fermt1 (-222372)
peak741	Ssfa2 (-180)
peak742	Nsun6 (+93729)
peak743	Tuba3a (+20618)
peak744	Tnfrsf8 (-38863)
peak745	Sugct (+67428)
peak746	Gucd1 (+25286)
peak747	Pdpk1 (-107)
peak748	Pdk1 (-99)
peak749	Hmga2 (-140320)
peak750	Arhgef33 (+16371)
peak751	Cfap57 (-2)
peak752	Efcab2 (+318)
peak753	Cox18 (-48)
peak754	Nedd9 (+267)
peak755	Agap2 (-3648)
peak756	Grap (-80)
peak757	Khdc1a (-15851)
peak758	Phgdh (-8279)
peak759	Upb1 (+39665)
peak760	Armc8 (-61)
peak761	Txlng (-84)
peak762	Ifrd1 (-57)
peak763	Ift140 (-432)
peak764	Axl (+14132)
peak765	Chdh (+187446)
peak766	Nol10 (+18735)
peak767	Strip2 (-63497)
peak768	Fdxr (-66)
peak769	Bcl7b (+529)
peak770	Lta (-4955)
peak771	Scai (-144)
peak772	Jkamp (-150)
peak773	Rps6ka1 (+8327)
peak774	Haus6 (-72)
peak775	Prdm11 (-32)
peak776	Morc3 (-15462)
peak777	Zfp36l2 (-125808)
peak778	Sla (+76430)
peak779	Dusp10 (-94)
peak780	Baiap2 (-14256)
peak781	Rgs2 (-141)
peak782	Patj (+41130)
peak783	Tespa1 (-68)
peak784	Mrpl33 (-37095)
peak785	Det1 (+46)
peak786	Bard1 (+9)
peak787	Mdfic (+72788)
peak788	Ncbp3 (+25)
peak789	Rbpj (-57922)
peak790	Trim30a (+19004)
peak791	Zfp36l1 (+350596)
peak792	Gpcpd1 (-35490)
peak793	Anapc4 (-28)
peak794	Ilvbl (+443)
peak795	Gm765 (-266594)
peak796	Mterf1a (+6891)
peak797	Map6d1 (-23847)
peak798	Pard3 (+452103)
peak799	Elp4 (+25)
peak800	Plcg1 (+25778)
peak801	Vmn2r90 (+62715)
peak802	Pde1a (+182520)
peak803	Tph2 (+94)
peak804	Mbd5 (-124221)
peak805	Wdr70 (+120397)
peak806	Gm9242 (-11212)
peak807	Inpp5d (+6315)
peak808	Zfp64 (-133989)
peak809	2610008E11Rik (+80)
peak810	Cenpe (-37)
peak811	Txk (-16268)
peak812	Abhd12b (-17452)
peak813	Zbtb20 (-55)
peak814	Mobp (+8568)
peak815	Stmnd1 (-134389)
peak816	Wdtc1 (-114)
peak817	Tbccd1 (-4)
peak818	Lmna (-6771)
peak819	Trpv4 (+18814)
peak820	Zfp664 (+10586)
peak821	BC029722 (+177)
peak822	Atf7ip (+13235)
peak823	Phf11b (-54)
peak824	Ly6c2 (-4808)
peak825	Trim39 (+5541)
peak826	Frs2 (+20850)
peak827	Fdft1 (+1539)
peak828	Phc2 (+48)
peak829	Tnfaip8 (+205)
peak830	Slc16a13 (-102)
peak831	Ppp1r7 (+766)
peak832	Cd40lg (+41715)
peak833	Wdr5b (-118)
peak834	Wdr36 (+43358)
peak835	Riox2 (-12692)
peak836	Tlr5 (+28432)
peak837	Syne2 (+109429)
peak838	Ern1 (-48575)
peak839	Rab2b (+52)
peak840	Dnajb11 (-10)
peak841	Lrrc6 (+55451)
peak842	Agr3 (-126013)
peak843	Csrp1 (-8838)
peak844	Adrb2 (+87236)
peak845	Polr2d (-106)
peak846	Rflna (-48056)
peak847	Lax1 (-9)
peak848	Ets1 (+365076)
peak849	Rchy1 (+332)
peak850	Slc38a9 (-65)
peak851	Rflna (-48386)
peak852	Smu1 (-29)
peak853	Plce1 (+117691)
peak854	Bace2 (-84273)
peak855	Try4 (-86198)
peak856	Ttc39c (-32073)
peak857	Fgfr1 (-53080)
peak858	Rnf41 (+13131)
peak859	Rgs2 (-72036)
peak860	3110018I06Rik (-287558)
peak861	Creb3l2 (-39152)
peak862	Car8 (+20837)
peak863	Abi1 (-119)
peak864	Adora2a (-21699)
peak865	Itgb6 (-101092)
peak866	Crls1 (-52)
peak867	Stk39 (+41616)
peak868	Cc2d1b (-66)
peak869	Bbs7 (+37)
peak870	4930444G20Rik (+91553)
peak871	Ugcg (+58929)
peak872	Gramd1b (+40570)
peak873	Spice1 (+10941)
peak874	Cryl1 (-68)
peak875	Tmem184c (-20)
peak876	Gbp9 (+56534)
peak877	Mbd1 (-97)
peak878	Zpr1 (+65)
peak879	Sertad3 (-390)
peak880	Zfp131 (-13)
peak881	Lonrf3 (-49344)
peak882	C9 (+55743)
peak883	Trib1 (+147534)
peak884	Cc2d2b (-40373)
peak885	Zfp800 (+46374)
peak886	Riox1 (-20934)
peak887	NONE
peak888	Eid1 (-5842)
peak889	Polr2j (+84)
peak890	Tdrkh (-186)
peak891	Gata3 (+284382)
peak892	Myrip (+36308)
peak893	Fam214a (+50)
peak894	Iars (+37)
peak895	Dph6 (+11)
peak896	Scarb2 (-22)
peak897	Per2 (-208)
peak898	Kdm4a (-39)
peak899	Prep (-117)
peak900	Synj2bp (-21)
peak901	Tle3 (+53724)
peak902	Arrdc3 (+292898)
peak903	Supv3l1 (-46)
peak904	Cfap97 (+2)
peak905	Chd7 (+121229)
peak906	Zfyve26 (-44)
peak907	Scml4 (+37451)
peak908	Babam2 (+133724)
peak909	Ptgs2 (+65136)
peak910	Nop56 (-129)
peak911	Tomm40 (-400)
